【Tag 1 – Heimatort】<br>Eine Katze öffnet eine Schatztruhe<br>und findet 5 Beschleuniger!	Tag 1
【Tag 2 – Heimatort】<br>Eine Katze blickt ins Glas<br>und findet 4 reiche Katzen!	Tag 2
【Tag 3 – Heimatort】<br>Eine Katze erhält 1 seltenes Ticket<br>von einem alten Freund!	Tag 3
【Tag 4 – Heimatort】<br>Eine Katze öffnet eine Kommode<br>und findet 4 Katzencomputer!	Tag 4
【Tag 5 – Heimatort】<br>Eine Katze erhält 2 Katzentickets<br>von einer Schlosswache!	Tag 5
【Tag 6 – Kleine Höhle】<br>Eine Katze öffnet eine Schatztruhe<br>und findet 1 seltenes Ticket!	Tag 6
【Tag 7 – Kleine Höhle】<br>Eine Katze findet ein Schatzradar<br>in einem Riss in der Wand!	Tag 7
【Tag 8 – Kleine Höhle】<br>Tief in der Höhle findet<br>eine Katze 5 Katzenschützen!	Tag 8
【Tag 9 – Vulkan】<br>Eine Katze erhält 1 seltenes Ticket<br>von vorbeiziehenden Abenteurern!	Tag 9
【Tag 10 – Vulkan】<br>Eine Katze erhält 3 Katzentickets<br>von einem alten Freund!	Tag 10
【Tag 11 – Vulkan】<br>Eine Katze gräbt einen Schatz aus<br>und findet 4 Katzeneffizienzen!	Tag 11
【Tag 12 – Herberge】<br>Eine Katze öffnet eine Kommode<br>und findet 1 seltenes Ticket!	Tag 12
【Tag 13 – Herberge】<br>Eine Katze findet an einem<br>Speicherpunkt 3 reiche Katzen!	Tag 13
【Tag 14 – Wüste】<br>Eine Katze gräbt tief im Sand<br>und findet 3 Katzencomputer!	Tag 14
【Tag 15 – Wüste】<br>Eine Kontaktlinse glänzt im Sand …<br>neben einem seltenen Ticket!	Tag 15
【Tag 16 – Wüste】<br>Eine Katze findet im Wasser<br>einer Oase 1 Schatzradar.	Tag 16
【Tag 17 – Große Brücke】<br>Eine Katze findet unter der Brücke<br>zur Insel 3 Katzeneffizienzen!	Tag 17
【Tag 18 – Große Brücke】<br>Eine Katze findet in einem<br>Vogelnest ein seltenes Ticket!	Tag 18
【Tag 19 – Dorf Kokorika】<br>Das Dorfoberhaupt schenkt<br>einer Katze 5 Beschleuniger!	Tag 19
【Tag 20 – Thronsaal】<br>Eine Katze erhält 3 Katzentickets<br>für ihre Dienste für den König!	Tag 20
【Tag 21 – Thronsaal】<br>Der königliche Wesir schenkt<br>einer Katze ein seltenes Ticket!	Tag 21
【Tag 22 – Gefängnis】<br>Eine Katze wird ins Verlies gewor-<br>fen und findet 3 Katzeneffizienzen.	Tag 22
【Tag 23 – Gefängnis】<br>Eine Katze findet 3 reiche Katzen<br>neben einem Haufen Knochen!	Tag 23
【Tag 24 – Gefängnis】<br>Unter einem seltenen Ticket findet<br>eine Katze den Zellenschlüssel!	Tag 24
【Tag 25 – Verschneiter Berg】<br>Eine Katze findet<br>2 Katzentickets im Schnee.	Tag 25
【Tag 26 – Verschneiter Berg】<br>Eine Katze findet<br>1 Schatzradar in einem Schneemann.	Tag 26
【Tag 27 – Verschneiter Berg】<br>Bei der 11. Flucht aus dem Kampf<br>findet eine Katze 1 seltenes Ticket!	Tag 27
【Tag 28 – Waldlabyrinth】<br>Eine Katze findet eine Okarina<br>und 3 Katzencomputer!	Tag 28
【Tag 29 – Waldlabyrinth】<br>Eine Katze findet im Laub<br>5 Katzenschützen!	Tag 29
【Tag 30 – Waldausgang】<br>Eine Katze trifft eine Nymphe,<br>die ihr 1 seltenes Ticket schenkt!	Tag 30
