¡Has ganado 20 Friskas!<br>P: ¿Cuántos años tiene Battle Cats?<br>Pista: ¡en la pantalla de título!	Día 1
¡Has ganado 1 caja misteriosa!<br>P: ¿Cómo se usa la caja misteriosa?<br>Pista: ¡mira en la bola de eventos!	Día 2
¡Has ganado 1 tique raro!<br>P: ¿Qué se gana en las Tragagatos?<br>Pista: ¡es un objeto especial!	Día 3
¡Has ganado 1 caja misteriosa!<br>P: ¿Cuál es la fase del Chucho Pasteloso?<br>Pista: ¡es una fase de aniversario!	Día 4
¡Has ganado 1 tique raro!<br>P: ¿Cuántas fases hay en «¡¿Qué hay en la caja?!»?<br>Pista: #I. Gatos C1 fase 1 a Nepal.	Día 5
¡Has ganado 1 caja misteriosa!<br>P: ¿Qué caracteres aparecen en<br>el sombrero de la base gatuna?<br>Pista: es un alfabeto específico.	Día 6
¡Has ganado 1 tique raro!<br>P: ¿Premio por superar<br>Imperio de los Gatos (cap. 1)?<br>Pista: ¡solo en este evento!	Día 7
¡Has ganado 1 caja misteriosa!<br>P: ¿En qué van montados los gatos<br>en «¡¿Qué hay en la caja?!»?<br>Pista: ¡van por todas partes!	Día 8
¡Has ganado 20 Friskas!<br>P: ¿Unidades a mitad de precio<br>en este evento?<br>Pista: ¡mira en el menú «Mejorar»!	Día 9
¡Has ganado 1 tique raro!<br>P: ¿Cúantos sellos de evento<br>has recogido en este evento?<br>Pista: ¡ya llevas casi la mitad!	Día 10
¡Has ganado 1 caja misteriosa!<br>P: ¿Cuánto giran las Tragagatos?<br>Pista: ¡ten en cuenta los bonus!	Día 11
¡Has ganado 1 tique raro!<br>P: ¿Qué se esconde tras la<br>puerta corredera de la base gatuna?<br>Pista: ¡tras la puerta de la base!	Día 12
¡Has ganado 1 caja misteriosa!<br>P: ¿Nº de unidades ¿?<br>en «¡¿Qué hay en la caja?!»?<br>Pista: ¡cartel de bola de eventos!	Día 13
¡Has ganado 1 tique raro!<br>P: ¿Nº fases Regalo de Aniversario?<br>Pista: ¡un número razonable!	Día 14
¡Has ganado 1 caja misteriosa!<br>P: ¿Nº de sellos de aniversario?<br>Pista: ¡ya solo te quedan 5!	Día 15
¡Has ganado 1 tique raro!<br>P: ¿Nº preguntas de concurso felino?<br>Pista: ¡mira en la base gatuna!	Día 16
¡Has ganado 1 caja misteriosa!<br>P: ¿Premio del concurso felino?<br>Pista: ¡mira la pestaña «Misiones»!	Día 17
¡Has ganado 1 tique raro!<br>P: ¿Premio de la encuesta de evento?<br>Pista: ¡notificaciones del juego!	Día 18
¡Has ganado 1 caja misteriosa!<br>P: ¿Cuántos años cumple<br>The Battle Cats de aquí a un año?<br>Pista: 9 + 1= ¿?	Día 19
¡Has ganado 1 tique raro!<br><flash>¡Enhorabuena!<\flash><br>¡Has conseguido todos los sellos!<br>¡Ahora toca celebrar y disfrutar!	Día 20
